beta,chrf,fluency
0.0001,37.075011008118516,-2.8790915071964265
0.001,37.50504677689985,-2.8791069189707437
0.005,37.512852772718794,-2.879109304745992
0.01,37.63871705309025,-2.8792402291297914
0.05,38.848383398850245,-2.8820653120676676
0.1,40.38196754565384,-2.8942931894461315
0.2,43.916376028141876,-2.941211531360944
0.5,50.942289512549664,-3.1726588503519695
1.0,56.336148216881796,-3.551648485263189
2.0,58.551381427480734,-3.8271466402212777
5.0,59.419728239875234,-4.074211624463399
10.0,59.53342438832689,-4.151525787115097
50.0,59.60688326064893,-4.276802717447281
100.0,59.608466668034744,-4.287274292707443
1000.0,59.60934596910726,-4.315209652980169
10000.0,59.60934596910726,-4.315209652980169
